altitude,temp,N2,O2,O,He,H,Ar,N
148000,685.7121582,2.664169717e+16,2.340864551e+15,1.748734589e+16,1.805290098e+13,6.918815744e+11,5.706826646e+13,1.335682505e+13
149000,693.5700073,2.516206590e+16,2.177569223e+15,1.686058776e+16,1.777892065e+13,6.620543713e+11,5.273244244e+13,1.408366857e+13
150000,701.1923828,2.378806936e+16,2.028190931e+15,1.626718971e+16,1.751789443e+13,6.341203067e+11,4.878697811e+13,1.482528339e+13
151000,708.5864258,2.251016626e+16,1.891319719e+15,1.570458335e+16,1.726876641e+13,6.079280579e+11,4.519123904e+13,1.557994983e+13
152000,715.7590332,2.131982682e+16,1.765695684e+15,1.517078656e+16,1.703082040e+13,5.833472737e+11,4.190790432e+13,1.634586434e+13
153000,722.717041,2.020955200e+16,1.650222401e+15,1.466364219e+16,1.680318084e+13,5.602552709e+11,3.890585639e+13,1.712113739e+13
154000,729.4666748,1.917253215e+16,1.543926389e+15,1.418135602e+16,1.658523537e+13,5.385448653e+11,3.615625105e+13,1.790373265e+13
155000,736.0144043,1.820270276e+16,1.445945972e+15,1.372227770e+16,1.637629192e+13,5.181160489e+11,3.363422024e+13,1.869158233e+13
156000,742.366272,1.729452011e+16,1.355495437e+15,1.328484387e+16,1.617580314e+13,4.988776284e+11,3.131783407e+13,1.948244561e+13
157000,748.5283203,1.644310405e+16,1.271889603e+15,1.286766941e+16,1.598311472e+13,4.807479788e+11,2.918731848e+13,2.027407855e+13
158000,754.5061035,1.564402968e+16,1.194518989e+15,1.246943252e+16,1.579782924e+13,4.636515697e+11,2.722548731e+13,2.106428962e+13
159000,760.3052368,1.489327477e+16,1.122831287e+15,1.208900901e+16,1.561946017e+13,4.475165082e+11,2.541655530e+13,2.185076356e+13
160000,765.9312134,1.418712523e+16,1.056330094e+15,1.172526931e+16,1.544758388e+13,4.322791588e+11,2.374678610e+13,2.263113898e+13
161000,771.3891602,1.352235879e+16,9.945723563e+14,1.137716972e+16,1.528180926e+13,4.178813911e+11,2.220366810e+13,2.340322437e+13
162000,776.684082,1.289592922e+16,9.371546833e+14,1.104387597e+16,1.512174309e+13,4.042693345e+11,2.077600671e+13,2.416466251e+13
163000,781.8210449,1.230499970e+16,8.837161634e+14,1.072440019e+16,1.496704352e+13,3.913911501e+11,1.945383836e+13,2.491337513e+13
164000,786.8046875,1.174721552e+16,8.339270905e+14,1.041807561e+16,1.481745472e+13,3.792014213e+11,1.822807399e+13,2.564718540e+13
