altitude,temp,N2,O2,O,He,H,Ar,N
954000,1095.000977,1.186732800e+07,3.617929297e+04,6.791663667e+10,6.639144141e+11,4.269615923e+10,2.532791376e+00,4.894998528e+09
955000,1095.000977,1.159978800e+07,3.524910938e+04,6.707731226e+10,6.617550029e+11,4.266140467e+10,2.451749086e+00,4.839501824e+09
956000,1095.000977,1.133832000e+07,3.434296875e+04,6.624894387e+10,6.596052255e+11,4.262667469e+10,2.373336077e+00,4.784644096e+09
957000,1095.000977,1.108285400e+07,3.346063281e+04,6.543163315e+10,6.574623949e+11,4.259205120e+10,2.297439814e+00,4.730443776e+09
958000,1095.000977,1.083318400e+07,3.260096484e+04,6.462474547e+10,6.553265111e+11,4.255737856e+10,2.223995924e+00,4.676848640e+09
959000,1095.000977,1.058923900e+07,3.176362891e+04,6.382838298e+10,6.531988849e+11,4.252281242e+10,2.152908325e+00,4.623895552e+09
960000,1095.000977,1.035082800e+07,3.094803516e+04,6.304241408e+10,6.510780088e+11,4.248827494e+10,2.084124804e+00,4.571543040e+09
961000,1095.000977,1.011782300e+07,3.015372461e+04,6.226678963e+10,6.489654559e+11,4.245376614e+10,2.017554045e+00,4.519799808e+09
962000,1095.000977,9.890157000e+06,2.937991797e+04,6.150105088e+10,6.468595876e+11,4.241928192e+10,1.953124642e+00,4.468659712e+09
963000,1095.000977,9.667651000e+06,2.862618359e+04,6.074539776e+10,6.447619113e+11,4.238483046e+10,1.890767097e+00,4.418106368e+09
964000,1095.000977,9.450241000e+06,2.789189062e+04,5.999957299e+10,6.426709852e+11,4.235040358e+10,1.830421567e+00,4.368141312e+09
965000,1095.000977,9.237755000e+06,2.717674805e+04,5.926346445e+10,6.405881201e+11,4.231608730e+10,1.772015333e+00,4.318757888e+09
966000,1095.000977,9.030134000e+06,2.648004297e+04,5.853683123e+10,6.385118740e+11,4.228172186e+10,1.715492487e+00,4.269941760e+09
967000,1095.000977,8.827195000e+06,2.580139453e+04,5.781973837e+10,6.364424438e+11,4.224746291e+10,1.660778999e+00,4.221692416e+09
968000,1095.000977,8.628883000e+06,2.514032812e+04,5.711177165e+10,6.343809434e+11,4.221322854e+10,1.607822657e+00,4.173997056e+09
969000,1095.000977,8.435090000e+06,2.449648438e+04,5.641319373e+10,6.323260621e+11,4.217902285e+10,1.556578755e+00,4.126863360e+09
970000,1095.000977,8.245713000e+06,2.386930664e+04,5.572358682e+10,6.302791107e+11,4.214475981e+10,1.506985307e+00,4.080278528e+09
971000,1095.000977,8.060588000e+06,2.325809961e+04,5.504284262e+10,6.282386473e+11,4.211069338e+10,1.458971858e+00,4.034210560e+09
972000,1095.000977,7.879693500e+06,2.266288867e+04,5.437092608e+10,6.262073590e+11,4.207657370e+10,1.412504315e+00,3.988686336e+09
973000,1095.000977,7.702932000e+06,2.208308008e+04,5.370793318e+10,6.241824932e+11,4.204247859e+10,1.367532611e+00,3.943698432e+09
974000,1095.000977,7.530136500e+06,2.151818750e+04,5.305334093e+10,6.221630669e+11,4.200841216e+10,1.324002624e+00,3.899210240e+09
